trade_id,entry_time,exit_time,direction,verdict,gross_r,net_r,comm_r
1141,2020-01-02T12:09:00+00:00,2020-01-02T13:35:33.390000,LONG,BE_STOP,0.0,-0.0556,0.0556
1142,2020-01-03T16:12:00+00:00,2020-01-03T16:22:39.131000,LONG,BE_STOP,0.0,-0.0725,0.0725
1143,2020-01-07T15:21:00+00:00,2020-01-07T21:59:07.794000,SHORT,SL,-1.0,-1.0345,0.0345
1144,2020-01-08T19:54:00+00:00,2020-01-08T20:58:42.663000,LONG,BE_STOP,0.0,-0.0909,0.0909
1145,2020-01-09T15:12:00+00:00,2020-01-10T00:44:43.950000,LONG,TIME_EXIT,-0.224,-0.25,0.026
1146,2020-01-10T12:21:00+00:00,2020-01-10T12:42:44.531000,LONG,BE_STOP,0.0,-0.1087,0.1087
1147,2020-01-13T16:12:00+00:00,2020-01-13T16:41:34.576000,LONG,BE_STOP,0.0,-0.0649,0.0649
1148,2020-01-15T15:00:00+00:00,2020-01-16T00:44:59.203000,SHORT,TIME_EXIT,-0.5455,-0.5739,0.0284
1149,2020-01-16T12:12:00+00:00,2020-01-16T12:32:38.813000,LONG,TP,1.4,1.3153,0.0847
1150,2020-01-17T12:06:00+00:00,2020-01-17T13:22:08.738000,LONG,SL,-1.0,-1.0588,0.0588
1151,2020-01-20T13:51:00+00:00,2020-01-20T14:15:51.004000,LONG,SL,-1.0,-1.082,0.082
1152,2020-01-21T14:00:00+00:00,2020-01-21T15:22:58.161000,LONG,SL,-1.0,-1.0481,0.0481
1153,2020-01-22T12:33:00+00:00,2020-01-22T12:47:49.884000,LONG,BE_STOP,0.0,-0.0862,0.0862
1154,2020-01-23T13:00:00+00:00,2020-01-23T15:20:21.947000,SHORT,TP,1.4,1.3781,0.0219
1155,2020-01-24T12:54:00+00:00,2020-01-24T13:02:37.155000,SHORT,BE_STOP,0.0,-0.0704,0.0704
1156,2020-01-27T16:21:00+00:00,2020-01-27T16:44:09.443000,LONG,BE_STOP,0.0,-0.0556,0.0556
1157,2020-01-28T12:12:00+00:00,2020-01-28T12:44:44.340000,SHORT,BE_STOP,0.0,-0.0909,0.0909
1158,2020-01-29T14:39:00+00:00,2020-01-29T14:43:45.232000,LONG,BE_STOP,0.0,-0.0725,0.0725
1159,2020-01-30T17:39:00+00:00,2020-01-30T18:32:41.466000,LONG,BE_STOP,0.0,-0.0909,0.0909
1160,2020-01-31T12:06:00+00:00,2020-01-31T13:11:47.281000,LONG,TP,1.4,1.3265,0.0735
