family_id,config_id,parameters
F06,F06_RERUN_0001,"{'vol_window': 10, 'multiplier': 1.5, 'tp_pips': 10, 'sl_pips': 10}"
F06,F06_RERUN_0002,"{'vol_window': 10, 'multiplier': 1.5408163265306123, 'tp_pips': 10, 'sl_pips': 10}"
F06,F06_RERUN_0003,"{'vol_window': 11, 'multiplier': 1.5816326530612246, 'tp_pips': 10, 'sl_pips': 10}"
F06,F06_RERUN_0004,"{'vol_window': 12, 'multiplier': 1.6224489795918366, 'tp_pips': 11, 'sl_pips': 10}"
F06,F06_RERUN_0005,"{'vol_window': 13, 'multiplier': 1.663265306122449, 'tp_pips': 11, 'sl_pips': 10}"
F06,F06_RERUN_0006,"{'vol_window': 14, 'multiplier': 1.7040816326530612, 'tp_pips': 12, 'sl_pips': 11}"
F06,F06_RERUN_0007,"{'vol_window': 14, 'multiplier': 1.7448979591836735, 'tp_pips': 12, 'sl_pips': 11}"
F06,F06_RERUN_0008,"{'vol_window': 15, 'multiplier': 1.7857142857142856, 'tp_pips': 12, 'sl_pips': 11}"
F06,F06_RERUN_0009,"{'vol_window': 16, 'multiplier': 1.8265306122448979, 'tp_pips': 13, 'sl_pips': 11}"
F06,F06_RERUN_0010,"{'vol_window': 17, 'multiplier': 1.8673469387755102, 'tp_pips': 13, 'sl_pips': 11}"
F06,F06_RERUN_0011,"{'vol_window': 18, 'multiplier': 1.9081632653061225, 'tp_pips': 14, 'sl_pips': 12}"
F06,F06_RERUN_0012,"{'vol_window': 18, 'multiplier': 1.9489795918367347, 'tp_pips': 14, 'sl_pips': 12}"
F06,F06_RERUN_0013,"{'vol_window': 19, 'multiplier': 1.989795918367347, 'tp_pips': 14, 'sl_pips': 12}"
F06,F06_RERUN_0014,"{'vol_window': 20, 'multiplier': 2.0306122448979593, 'tp_pips': 15, 'sl_pips': 12}"
F06,F06_RERUN_0015,"{'vol_window': 21, 'multiplier': 2.071428571428571, 'tp_pips': 15, 'sl_pips': 12}"
F06,F06_RERUN_0016,"{'vol_window': 22, 'multiplier': 2.1122448979591835, 'tp_pips': 16, 'sl_pips': 13}"
F06,F06_RERUN_0017,"{'vol_window': 23, 'multiplier': 2.1530612244897958, 'tp_pips': 16, 'sl_pips': 13}"
F06,F06_RERUN_0018,"{'vol_window': 23, 'multiplier': 2.193877551020408, 'tp_pips': 16, 'sl_pips': 13}"
F06,F06_RERUN_0019,"{'vol_window': 24, 'multiplier': 2.2346938775510203, 'tp_pips': 17, 'sl_pips': 13}"
F06,F06_RERUN_0020,"{'vol_window': 25, 'multiplier': 2.2755102040816326, 'tp_pips': 17, 'sl_pips': 13}"
F06,F06_RERUN_0021,"{'vol_window': 26, 'multiplier': 2.316326530612245, 'tp_pips': 18, 'sl_pips': 14}"
F06,F06_RERUN_0022,"{'vol_window': 27, 'multiplier': 2.357142857142857, 'tp_pips': 18, 'sl_pips': 14}"
F06,F06_RERUN_0023,"{'vol_window': 27, 'multiplier': 2.3979591836734695, 'tp_pips': 18, 'sl_pips': 14}"
F06,F06_RERUN_0024,"{'vol_window': 28, 'multiplier': 2.4387755102040813, 'tp_pips': 19, 'sl_pips': 14}"
F06,F06_RERUN_0025,"{'vol_window': 29, 'multiplier': 2.479591836734694, 'tp_pips': 19, 'sl_pips': 14}"
F06,F06_RERUN_0026,"{'vol_window': 30, 'multiplier': 2.520408163265306, 'tp_pips': 20, 'sl_pips': 15}"
F06,F06_RERUN_0027,"{'vol_window': 31, 'multiplier': 2.561224489795918, 'tp_pips': 20, 'sl_pips': 15}"
F06,F06_RERUN_0028,"{'vol_window': 32, 'multiplier': 2.6020408163265305, 'tp_pips': 21, 'sl_pips': 15}"
F06,F06_RERUN_0029,"{'vol_window': 32, 'multiplier': 2.642857142857143, 'tp_pips': 21, 'sl_pips': 15}"
