pair,month,trades,wins,losses,win_rate,total_pnl_r,total_pnl_usd,avg_pnl_r,max_drawdown_pct,profit_factor
EURUSD,2020-04,1,0,1,0.0,-1.1098985269440191,-1109.898526944019,-1.1098985269440191,0.0,0.0
EURUSD,2020-05,2,1,1,50.0,0.5714473760885922,571.4473760885923,0.2857236880442961,0.016697530126198352,35.02332740398396
EURUSD,2020-06,1,0,1,0.0,-1.1388324581756426,-1138.8324581756426,-1.1388324581756426,0.0,0.0
EURUSD,2020-07,1,0,1,0.0,-0.028456008509832785,-28.456008509832785,-0.028456008509832785,0.0,0.0
EURUSD,2020-10,2,1,1,50.0,-1.005516543452641,-1005.5165434526411,-0.5027582717263205,1.3250140683417626,0.24357685281368247
EURUSD,2020-11,1,1,0,100.0,0.169270471852962,169.270471852962,0.169270471852962,0.0,inf
EURUSD,2020-12,1,1,0,100.0,0.15505929822561484,155.05929822561484,0.15505929822561484,0.0,inf
EURUSD,2021-01,3,2,1,66.66666666666666,-1.1388324864897243,-1138.8324864897243,-0.3796108288299081,0.0,0.0910527839449003
EURUSD,2021-04,1,1,0,100.0,0.01453277725955715,14.53277725955715,0.01453277725955715,0.0,inf
EURUSD,2021-06,2,1,1,50.0,-0.023729462492823622,-23.729462492823615,-0.011864731246411811,0.22156972694800064,0.8931148887309371
EURUSD,2021-08,2,0,2,0.0,-1.374450922268882,-1374.450922268882,-0.687225461134441,0.1711737489110098,0.0
EURUSD,2021-11,1,1,0,100.0,0.026937418629412038,26.937418629412036,0.026937418629412038,0.0,inf
