family_id,config_id,signal_time,side
F06,F06_LIM_0001,2020-03-02 16:45:00,buy
F06,F06_LIM_0001,2020-03-03 15:00:00,buy
F06,F06_LIM_0001,2020-03-05 12:00:00,buy
F06,F06_LIM_0001,2020-03-05 12:30:00,buy
F06,F06_LIM_0001,2020-03-26 11:15:00,buy
F06,F06_LIM_0001,2020-03-26 14:45:00,buy
F06,F06_LIM_0001,2020-03-26 15:15:00,buy
F06,F06_LIM_0001,2020-03-26 15:45:00,buy
F06,F06_LIM_0001,2020-03-27 15:45:00,buy
F06,F06_LIM_0001,2020-03-31 15:15:00,buy
F06,F06_LIM_0002,2020-03-02 16:45:00,buy
F06,F06_LIM_0002,2020-03-03 15:00:00,buy
F06,F06_LIM_0002,2020-03-05 12:00:00,buy
F06,F06_LIM_0002,2020-03-05 12:30:00,buy
F06,F06_LIM_0002,2020-03-26 11:15:00,buy
F06,F06_LIM_0002,2020-03-26 14:45:00,buy
F06,F06_LIM_0002,2020-03-26 15:15:00,buy
F06,F06_LIM_0002,2020-03-26 15:45:00,buy
F06,F06_LIM_0002,2020-03-27 15:45:00,buy
F06,F06_LIM_0002,2020-03-31 15:15:00,buy
F06,F06_LIM_0003,2020-03-02 17:00:00,buy
F06,F06_LIM_0003,2020-03-03 15:00:00,buy
F06,F06_LIM_0003,2020-03-23 12:00:00,buy
F06,F06_LIM_0003,2020-03-26 15:15:00,buy
F06,F06_LIM_0004,2020-03-02 17:00:00,buy
F06,F06_LIM_0004,2020-03-03 15:00:00,buy
F06,F06_LIM_0004,2020-03-26 15:15:00,buy
F06,F06_LIM_0004,2020-03-26 15:45:00,buy
F06,F06_LIM_0004,2020-03-27 15:45:00,buy
F06,F06_LIM_0005,2020-03-03 15:00:00,buy
F06,F06_LIM_0005,2020-03-23 12:00:00,buy
F06,F06_LIM_0005,2020-03-25 15:45:00,buy
F06,F06_LIM_0006,2020-03-02 16:00:00,buy
F06,F06_LIM_0006,2020-03-02 17:00:00,buy
F06,F06_LIM_0006,2020-03-03 12:30:00,buy
F06,F06_LIM_0006,2020-03-03 15:00:00,buy
F06,F06_LIM_0006,2020-03-05 12:00:00,buy
F06,F06_LIM_0006,2020-03-06 14:15:00,buy
F06,F06_LIM_0006,2020-03-09 13:00:00,buy
F06,F06_LIM_0006,2020-03-10 12:00:00,buy
F06,F06_LIM_0006,2020-03-23 12:00:00,buy
F06,F06_LIM_0006,2020-03-25 15:45:00,buy
F06,F06_LIM_0006,2020-03-26 11:15:00,buy
F06,F06_LIM_0006,2020-03-26 15:15:00,buy
F06,F06_LIM_0006,2020-03-27 11:00:00,buy
F06,F06_LIM_0007,2020-03-02 17:00:00,buy
F06,F06_LIM_0007,2020-03-03 15:00:00,buy
F06,F06_LIM_0007,2020-03-26 15:15:00,buy
F06,F06_LIM_0007,2020-03-26 15:45:00,buy
F06,F06_LIM_0007,2020-03-27 15:45:00,buy
F06,F06_LIM_0008,2020-03-02 17:00:00,buy
F06,F06_LIM_0008,2020-03-03 15:00:00,buy
F06,F06_LIM_0008,2020-03-23 12:00:00,buy
F06,F06_LIM_0008,2020-03-26 15:15:00,buy
F06,F06_LIM_0009,2020-03-02 16:00:00,buy
F06,F06_LIM_0009,2020-03-02 17:00:00,buy
F06,F06_LIM_0009,2020-03-03 12:30:00,buy
F06,F06_LIM_0009,2020-03-03 15:00:00,buy
F06,F06_LIM_0009,2020-03-05 12:00:00,buy
F06,F06_LIM_0009,2020-03-06 14:15:00,buy
F06,F06_LIM_0009,2020-03-09 13:00:00,buy
F06,F06_LIM_0009,2020-03-10 12:00:00,buy
F06,F06_LIM_0009,2020-03-23 12:00:00,buy
F06,F06_LIM_0009,2020-03-25 15:45:00,buy
F06,F06_LIM_0009,2020-03-26 11:15:00,buy
F06,F06_LIM_0009,2020-03-26 15:15:00,buy
F06,F06_LIM_0009,2020-03-27 11:00:00,buy
F06,F06_LIM_0010,2020-03-02 13:30:00,buy
F06,F06_LIM_0010,2020-03-02 16:00:00,buy
F06,F06_LIM_0010,2020-03-02 16:45:00,buy
F06,F06_LIM_0010,2020-03-03 12:30:00,buy
F06,F06_LIM_0010,2020-03-03 15:00:00,buy
F06,F06_LIM_0010,2020-03-04 15:45:00,buy
F06,F06_LIM_0010,2020-03-05 12:30:00,buy
F06,F06_LIM_0010,2020-03-05 16:45:00,buy
F06,F06_LIM_0010,2020-03-06 14:15:00,buy
F06,F06_LIM_0010,2020-03-06 14:45:00,buy
F06,F06_LIM_0010,2020-03-09 13:00:00,buy
F06,F06_LIM_0010,2020-03-10 12:00:00,buy
F06,F06_LIM_0010,2020-03-11 12:00:00,buy
F06,F06_LIM_0010,2020-03-16 16:00:00,buy
