pair,entry_time_ny,exit_time_ny,direction,entry_price,exit_price,sl,tp,risk_r,pnl_r,pnl_usd,result,exit_reason,session_date
EURUSD,2020-01-03 13:00:00,2020-01-03 13:35:00,long,1.11718,1.116876782269164,1.116876782269164,1.1175135395039195,1.0,-1.1473565457008426,-1147.3565457008426,loss,stop_loss,2020-01-03
EURUSD,2020-01-06 11:05:00,2020-01-06 11:05:00,long,1.1189,1.1185697178077512,1.1185697178077512,1.1192633104114738,1.0,-1.1354880101745783,-1135.4880101745784,loss,stop_loss,2020-01-06
EURUSD,2020-01-07 13:05:00,2020-01-07 13:20:00,short,1.11422,1.1145018593907454,1.1145018593907454,1.11390995467018,1.0,-1.1581441322418708,-1158.144132241871,loss,stop_loss,2020-01-07
EURUSD,2020-01-08 12:40:00,2020-01-08 13:15:00,short,1.11171,1.111273412499606,1.1121068977276307,1.111273412499606,1.0,0.9879817582000943,987.9817582000943,win,take_profit,2020-01-08
EURUSD,2020-01-09 13:00:00,2020-01-09 13:25:00,short,1.11051,1.1107969665519088,1.1107969665519088,1.1101943367929006,1.0,-1.1548127273732292,-1154.812727373229,loss,stop_loss,2020-01-09
EURUSD,2020-01-15 11:05:00,2020-01-15 11:15:00,long,1.11525,1.1156636040226013,1.1148739963430898,1.1156636040226013,1.0,0.98133531482613,981.33531482613,win,take_profit,2020-01-15
EURUSD,2020-01-21 11:15:00,2020-01-21 11:20:00,long,1.10986,1.1095601825200303,1.1095601825200303,1.1101897992279668,1.0,-1.1480512244031267,-1148.0512244031268,loss,stop_loss,2020-01-21
EURUSD,2020-01-22 12:40:00,2020-01-22 13:40:00,short,1.1085,1.10867,1.108768147787152,1.108205037434133,1.0,-0.799347840812413,-799.347840812413,loss,time_stop,2020-01-22
EURUSD,2020-01-27 12:10:00,2020-01-27 12:40:00,short,1.10149,1.1011778931598164,1.101773733491076,1.1011778931598164,1.0,0.9447368069087082,944.7368069087082,win,take_profit,2020-01-27
EURUSD,2020-01-28 12:10:00,2020-01-28 12:20:00,short,1.10043,1.1006679508781603,1.1006679508781603,1.1001682540340239,1.0,-1.1850043829359593,-1185.0043829359593,loss,stop_loss,2020-01-28
EURUSD,2020-02-03 12:35:00,2020-02-03 13:00:00,short,1.10619,1.1058475637341512,1.1065013056962263,1.1058475637341512,1.0,0.9578862947742288,957.8862947742289,win,take_profit,2020-02-03
EURUSD,2020-02-04 12:30:00,2020-02-04 12:30:00,short,1.10389,1.1041582019482064,1.1041582019482064,1.1035949778569731,1.0,-1.1646554262826263,-1164.6554262826262,loss,stop_loss,2020-02-04
EURUSD,2020-02-06 11:50:00,2020-02-06 12:50:00,short,1.09789,1.09785,1.0983659720037506,1.0973664307958744,1.0,-0.008224849952315963,-8.224849952315964,loss,time_stop,2020-02-06
EURUSD,2020-02-18 11:40:00,2020-02-18 12:30:00,short,1.08139,1.0809321152914524,1.0818062588259525,1.0809321152914524,1.0,0.9961066535443877,996.1066535443877,win,take_profit,2020-02-18
EURUSD,2020-02-19 11:10:00,2020-02-19 11:15:00,short,1.07877,1.079145671539122,1.079145671539122,1.0783567613069658,1.0,-1.1148827656806708,-1114.882765680671,loss,stop_loss,2020-02-19
EURUSD,2020-02-19 12:05:00,2020-02-19 12:15:00,short,1.07929,1.0788477546533823,1.079692041224198,1.0788477546533823,1.0,0.9926409234774638,992.6409234774638,win,take_profit,2020-02-19
EURUSD,2020-02-20 12:05:00,2020-02-20 12:20:00,long,1.0796999999999999,1.0802385852631304,1.0792103770335175,1.0802385852631304,1.0,1.011770930062625,1011.7709300626249,win,take_profit,2020-02-20
EURUSD,2020-02-21 12:00:00,2020-02-21 13:00:00,long,1.08549,1.08573,1.0849969222492886,1.0860323855257827,1.0,0.3986704531212365,398.6704531212365,win,time_stop,2020-02-21
EURUSD,2020-02-24 11:30:00,2020-02-24 11:55:00,long,1.08581,1.0852432365606994,1.0852432365606994,1.0864334397832305,1.0,-1.076611979651591,-1076.611979651591,loss,stop_loss,2020-02-24
EURUSD,2020-02-27 13:05:00,2020-02-27 13:25:00,long,1.09798,1.0986011512684664,1.097415317028667,1.0986011512684664,1.0,1.0222011562097524,1022.2011562097524,win,take_profit,2020-02-27
EURUSD,2020-03-03 11:45:00,2020-03-03 12:05:00,long,1.11752,1.1162356155287743,1.1162356155287743,1.1189328229183484,1.0,-1.034783197728508,-1034.783197728508,loss,stop_loss,2020-03-03
EURUSD,2020-03-04 11:40:00,2020-03-04 11:40:00,short,1.11238,1.1131638066512604,1.1131638066512604,1.1115178126836136,1.0,-1.0567873810692308,-1056.7873810692308,loss,stop_loss,2020-03-04
EURUSD,2020-03-05 11:05:00,2020-03-05 11:25:00,long,1.11882,1.1180623721552747,1.1180623721552747,1.1196533906291977,1.0,-1.0590494344023986,-1059.0494344023987,loss,stop_loss,2020-03-05
EURUSD,2020-03-06 11:15:00,2020-03-06 11:45:00,long,1.13253,1.1313685598160288,1.1313685598160288,1.1338075842023683,1.0,-1.0389843315992702,-1038.9843315992703,loss,stop_loss,2020-03-06
EURUSD,2020-03-06 12:10:00,2020-03-06 12:20:00,long,1.13258,1.1317075320941918,1.1317075320941918,1.1335397146963888,1.0,-1.051904461674228,-1051.9044616742278,loss,stop_loss,2020-03-06
EURUSD,2020-03-09 11:05:00,2020-03-09 11:35:00,long,1.14349,1.141728518932101,1.141728518932101,1.1454276291746888,1.0,-1.0259464020519553,-1025.9464020519554,loss,stop_loss,2020-03-09
EURUSD,2020-03-09 13:25:00,2020-03-09 13:55:00,long,1.1457899999999999,1.147144210319548,1.1445588997095015,1.147144210319548,1.0,1.0627491747069802,1062.74917470698,win,take_profit,2020-03-09
EURUSD,2020-03-13 11:45:00,2020-03-13 11:50:00,short,1.11046,1.1092141803576796,1.1115925633112005,1.1092141803576796,1.0,1.0608016296881788,1060.8016296881788,win,take_profit,2020-03-13
EURUSD,2020-03-16 12:55:00,2020-03-16 12:55:00,short,1.11393,1.1149884754775228,1.1149884754775228,1.112765676974725,1.0,-1.0421156372529456,-1042.1156372529456,loss,stop_loss,2020-03-16
