Month,Sample,R_Base,R_Net_FTMO,Verdict
2015-01,16,3.75,3.03,NET_FTMO_STRONG
2015-02,19,3.2,2.35,NET_FTMO_SURVIVES
2015-03,21,1.6,0.66,NET_FTMO_FRAGILE
2015-04,19,13.2,12.34,NET_FTMO_STRONG
2015-05,19,9.4,8.54,NET_FTMO_STRONG
2015-06,20,13.2,12.3,NET_FTMO_STRONG
2015-07,19,3.6,2.75,NET_FTMO_SURVIVES
2015-08,19,12.2,11.6,NET_FTMO_STRONG
2015-09,20,1.6,0.82,NET_FTMO_FRAGILE
2015-10,16,3.75,3.03,NET_FTMO_STRONG
2015-11,17,-1.77,-2.54,NET_FTMO_FAILS
2015-12,18,8.4,7.54,NET_FTMO_STRONG
2016-01,19,4.04,3.37,NET_FTMO_SURVIVES
2016-02,20,5.43,4.61,NET_FTMO_STRONG
2016-03,17,2.2,1.57,NET_FTMO_FRAGILE
2016-04,19,2.6,1.91,NET_FTMO_FRAGILE
2016-05,22,9.2,7.99,NET_FTMO_STRONG
2016-07,21,-8.0,-8.95,NET_FTMO_FAILS
2016-08,21,10.2,9.13,NET_FTMO_STRONG
2016-09,22,2.0,1.05,NET_FTMO_FRAGILE
2016-10,19,5.0,4.02,NET_FTMO_FRAGILE
2016-11,22,0.6,-0.31,NET_FTMO_FAILS
2016-12,21,1.63,0.72,NET_FTMO_FRAGILE
2017-01,18,-1.2,-2.26,NET_FTMO_FAILS
2017-02,18,1.2,0.53,NET_FTMO_FRAGILE
2017-05,18,2.7,1.89,NET_FTMO_SURVIVES
2017-08,20,5.0,4.1,NET_FTMO_STRONG
2020-04,15,3.0,2.33,NET_FTMO_STRONG
2024-10,22,8.8,7.81,NET_FTMO_STRONG
2025-02,19,8.0,7.14,NET_FTMO_STRONG
2025-11,16,-0.43,-1.15,NET_FTMO_FAILS
