config_id,N_train,PF_train,N_val,PF_val,PF_avg,N_total
V48_B2_027,30,0.72,21,2.95,1.835,51
V48_B2_051,30,0.72,21,2.95,1.835,51
V48_B2_182,33,0.51,25,2.75,1.63,58
V48_B2_006,31,0.8,20,2.66,1.73,51
V48_B2_172,31,0.8,20,2.66,1.73,51
V48_B2_211,31,0.8,20,2.66,1.73,51
V48_B2_233,32,0.64,22,2.62,1.6300000000000001,54
V48_B2_298,32,0.64,22,2.62,1.6300000000000001,54
V48_B2_139,22,0.47,14,2.56,1.5150000000000001,36
V48_B2_028,33,0.73,24,2.55,1.64,57
V48_B2_017,31,0.46,24,2.54,1.5,55
V48_B2_284,33,0.47,25,2.52,1.495,58
V48_B2_035,32,0.41,25,2.51,1.46,57
V48_B2_053,22,0.47,14,2.47,1.4700000000000002,36
V48_B2_247,30,0.49,21,2.46,1.475,51
V48_B2_008,32,0.58,22,2.45,1.5150000000000001,54
V48_B2_216,22,0.45,14,2.45,1.4500000000000002,36
V48_B2_092,29,0.76,19,2.43,1.5950000000000002,48
V48_B2_099,33,0.67,24,2.34,1.505,57
V48_B2_287,33,0.67,24,2.34,1.505,57
